kod,sirket_adi,url,talep_tarihi,sonuclar_aciklandi,halka_arz_fiyati,dagitim_yontemi,toplam_lot,sermaye_artisi_lot,ortak_satisi_lot,sermaye_artisi_yuzde,ortak_satisi_yuzde,bireysel_kisi,bireysel_lot,bireysel_lot_basina_kisi,ilk_islem_tarihi,yil
AVPGY,,https://halkarz.com/avrupakent-gayrimenkul-yatirim-ortakligi-a-s/,,0,55.08,Eşit Dağıtım,100000000.0,65000000.0,23621365.0,73.35,26.65,3653597.0,78630631.0,21.52,21 Aralık 2023,2023
MEGMT,,https://halkarz.com/mega-metal-san-ve-tic-a-s/,,0,28.30,Eşit Dağıtım,53000000.0,40000000.0,9100000.0,81.47,18.53,3868974.0,48970000.0,12.66,15 Aralık 2023,2023
KBORU,,https://halkarz.com/kuzey-boru-a-s/,,0,36.20,Eşit Dağıtım,24000000.0,20000000.0,1600000.0,92.59,7.41,3449487.0,23953225.0,6.94,14 Aralık 2023,2023
SURGY,,https://halkarz.com/sur-tatil-evleri-gayrimenkul-yatirim-ortakligi-a-s/,,0,49.18,Eşit Dağıtım,45000000.0,22500000.0,22500000.0,50.0,50.0,3768928.0,36000000.0,9.55,14 Aralık 2023,2023
CATES,,https://halkarz.com/cates-elektrik-uretim-a-s/,,0,57.15,Eşit Dağıtım,33050000.0,24795000.0,8255000.0,75.02,24.98,3137365.0,23144550.0,7.38,7 Aralık 2023,2023
SKYMD,,https://halkarz.com/seker-yatirim-menkul-degerler-a-s/,,0,7.00,Eşit Dağıtım,52500000.0,35000000.0,17500000.0,66.67,33.33,2825163.0,52401528.0,18.55,6 Aralık 2023,2023
BEGYO,,https://halkarz.com/bati-ege-gayrimenkul-yatirim-ortakligi-a-s/,,0,3.00,Eşit Dağıtım,290000000.0,290000000.0,0.0,100.0,0.0,3255029.0,203000000.0,62.37,8 Aralık 2023,2023
AGROT,,https://halkarz.com/agrotech-yuksek-teknoloji-ve-yatirim-a-s/,,0,5.21,Eşit Dağıtım,300000000.0,200000000.0,100000000.0,66.67,33.33,3048095.0,210000000.0,68.9,23 Kasım 2023,2023
EKOS,,https://halkarz.com/ekos-teknoloji-ve-elektrik-a-s/,,0,12.77,Eşit Dağıtım,60000000.0,60000000.0,0.0,100.0,0.0,3282235.0,59882889.0,18.24,21 Kasım 2023,2023
BINHO,,https://halkarz.com/1000-yatirimlar-holding-a-s/,,0,125.00,Eşit Dağıtım,9500000.0,7000000.0,552500.0,92.68,7.32,3042950.0,9481495.0,3.12,20 Kasım 2023,2023
